dataset_name,schema_version,row_count,file_name,file_hash,generator_version,seed,as_of_timestamp,generation_timestamp,configuration_hash
scenario_registry,synthetic-source-v1,123,scenario_registry.csv,51f056bc28dec847f63cd4195e3ae1d3139ca0bfef2e966e8829b7d375a22934,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
sites,synthetic-source-v1,2,sites.csv,3e69881ff39be7d17a276f1c9284a06b41bda45478082a7396774e64e3cd23af,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
source_loads,synthetic-source-v1,6,source_loads.csv,2ddb80b3df9c3267d8f1cceb126bc6c9ece5ef6bc7263b8fa7dc53461a4a4a8d,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
source_systems,synthetic-source-v1,1,source_systems.csv,1a93f5e1acc8010bb314e3c0b5f0f4cab40bae649c25ecb0325306ce95a4fcb0,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
supplier_commitment_observations,synthetic-source-v1,227,supplier_commitment_observations.csv,b78179e493f503675260943c5872b55fc852fc22245175faeee631a87611b70b,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
supplier_performance_snapshots,synthetic-source-v1,24,supplier_performance_snapshots.csv,767bb8417e28467a319527a0b9f4ec7bfe6fa7c06fb77e7a46e00c8587a05ff2,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
supplier_versions,synthetic-source-v1,12,supplier_versions.csv,8fb2f2d0ddb3b3955030ec516dae24734a6a64f56068566542f6fc366669a72f,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
suppliers,synthetic-source-v1,12,suppliers.csv,a57725ae5e0271d8766ead144bc762d60b6738ca383fd86e084e96c46d743001,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
synthetic_outcome_observations,synthetic-source-v1,260,synthetic_outcome_observations.csv,44f645db214a7d408a39d2573879bfa9472a8b1ff14bd3e67d01e968e9720efd,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
uom_conversions,synthetic-source-v1,120,uom_conversions.csv,474e2ab338251ba97a0a92de8a016af2aaa3a1307d6d2580bc3f0d37d40e1664,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
users,synthetic-source-v1,21,users.csv,ee5d7f3de219c7e90915f00cf9c1c7dd5af54ebf0514ece8c7199c177c18116b,1.0.0,20260720,2026-06-30T18:00:00+10:00,2026-06-30T18:00:00+10:00,01080ca88b03e6da7c7f9b61509216c547e0b24e9ff20351c050c4fe97adeb32
